,state,sat_part_17,sat_total_17,sat_part_18,sat_total_18,sat_part_19,sat_total_19,act_part_17,act_comp_17,act_part_18,act_comp_18,act_part_19,act_comp_19,perc_college_bound,tot_hs_grads,tot_college_bound,perc_bach,pop_bach
0,Alabama,0.05,1165.0,0.06,1166.0,0.07,1143.0,1.0,19.2,1.0,19.1,1.0,18.9,0.6595,48690,32111,0.27149999999999996,172677.0
1,Alaska,0.38,1080.0,0.43,1106.0,0.41,1097.0,0.65,19.8,0.33,20.8,0.38,20.1,0.4114,7758,3192,0.2696,31724.0
2,Arizona,0.3,1116.0,0.29,1149.0,0.31,1134.0,0.62,19.7,0.66,19.2,0.73,19.0,0.5009,68985,34558,0.2912,285226.0
3,Arkansas,0.03,1208.0,0.05,1169.0,0.06,1141.0,1.0,19.4,1.0,19.4,1.0,19.3,0.6313,31315,19770,0.2596,102024.0
4,California,0.53,1055.0,0.6,1076.0,0.63,1065.0,0.31,22.8,0.27,22.7,0.23,22.6,0.6601,431009,284529,0.3663,2210574.0
5,Colorado,0.11,1201.0,1.0,1025.0,1.0,1024.0,1.0,20.8,0.3,23.9,0.27,23.8,0.5798,58612,33982,0.4277,380467.0
6,Connecticut,1.0,1041.0,1.0,1053.0,1.0,1046.0,0.31,25.2,0.26,25.6,0.22,25.5,0.7805,40056,31265,0.43450000000000005,194607.0
7,Delaware,1.0,996.0,1.0,998.0,1.0,985.0,0.18,24.1,0.17,23.8,0.13,24.1,0.7093,9689,6872,0.3273,41697.0
8,Florida,0.83,1017.0,0.56,1099.0,1.0,999.0,0.73,19.8,0.66,19.9,0.54,20.1,0.6456000000000001,181999,117494,0.31170000000000003,859717.0
9,Georgia,0.61,1050.0,0.7,1064.0,0.71,1058.0,0.55,21.4,0.53,21.4,0.49,21.4,0.6537000000000001,108051,70630,0.33159999999999995,478261.0
10,Hawaii,0.55,1085.0,0.56,1010.0,0.54,1100.0,0.9,19.0,0.89,18.9,0.8,19.0,0.6139,13702,8412,0.3161,63550.0
11,Idaho,0.93,1005.0,1.0,1001.0,1.0,993.0,0.38,22.3,0.36,22.3,0.31,22.5,0.4393,20739,9111,0.2781,63430.0
12,Illinois,0.09,1115.0,0.99,1019.0,1.0,1013.0,0.93,21.4,0.43,23.9,0.35,24.3,0.6172,145526,89814,0.424,748523.0
13,Indiana,0.63,1074.0,0.63,1074.0,0.66,1080.0,0.35,22.6,0.32,22.5,0.29,22.5,0.6132,75013,46001,0.31120000000000003,272097.0
14,Iowa,0.02,1275.0,0.03,1265.0,0.03,1244.0,0.67,21.9,0.68,21.8,0.66,21.6,0.6598,35032,23113,0.342,134909.0
15,Kansas,0.04,1260.0,0.04,1265.0,0.04,1241.0,0.73,21.7,0.71,21.6,0.72,21.2,0.619,35484,21965,0.3771,141959.0
16,Kentucky,0.04,1247.0,0.04,1248.0,0.04,1232.0,1.0,20.0,1.0,20.2,1.0,19.8,0.6408,46380,29722,0.2859,165712.0
17,Louisiana,0.04,1198.0,0.04,1210.0,0.05,1200.0,1.0,19.5,1.0,19.2,1.0,18.8,0.6878,45047,30984,0.2724,175780.0
18,Maine,0.95,1012.0,0.99,1013.0,0.99,1013.0,0.08,24.3,0.07,24.0,0.06,24.3,0.588,14353,8439,0.3629,58051.0
19,Maryland,0.69,1060.0,0.76,1080.0,0.82,1058.0,0.28,23.6,0.31,22.5,0.28,22.3,0.6537999999999999,62688,40985,0.43170000000000003,356798.0
20,Massachusetts,0.76,1107.0,0.8,1125.0,0.81,1120.0,0.29,25.4,0.25,25.5,0.21,25.5,0.7409,73563,54505,0.5346,529420.0
21,Michigan,1.0,1005.0,1.0,1011.0,1.0,1003.0,0.29,24.1,0.22,24.2,0.19,24.4,0.6479,103250,66900,0.33659999999999995,434664.0
22,Minnesota,0.03,1295.0,0.04,1298.0,0.04,1284.0,1.0,21.5,0.99,21.3,0.95,21.4,0.6772,62303,42189,0.43170000000000003,327902.0
23,Mississippi,0.02,1242.0,0.03,1236.0,0.03,1237.0,1.0,18.6,1.0,18.6,1.0,18.4,0.8047,28885,23244,0.24239999999999998,91866.0
24,Missouri,0.03,1271.0,0.04,1262.0,0.04,1236.0,1.0,20.4,1.0,20.0,0.82,20.8,0.5927,68514,40609,0.3461,283506.0
